Question	Answer	Keywords	Link label	Link URL	Suggested	Published
Who is on the Board of Trustees?	Fifteen trustees elected by the membership, with the Superintendent of the Academy sitting ex officio. Between board meetings an Executive Committee chaired by the President decides how the Foundation answers the Academy's requests, and the President serves as its chief executive. The About page lists the 2025–2026 board with each member's role and background.	board, trustees, leadership, officers, chairman, who runs	Meet the Board	/about#board	No	Yes
What programs does the Foundation support?	The Foundation works across four strategic areas: facilities and modernization, academic excellence and endowment, leadership formation, and partnerships with the alumni community.	programs, projects, areas, work, activities, initiatives	Explore the programs	/programs	No	Yes
How can I contact the Foundation?	The Contact page has the Foundation's current details, and messages are acknowledged by the next business day.	contact, email, reach, phone, call, message, talk	Contact us	/contact	No	Yes
Is my information kept private?	Yes. The member roster is held privately and is never published on the website. When you check your status, only your own record is shown, and the digital ID card is generated in your browser without your photo being uploaded.	privacy, private, data, secure, security, confidential			No	Yes
Who can become a Regular or Associate member?	Both are open to alumni, faculty and staff of the Philippine Military Academy, and both pay the same one-time fee. The difference is a say in how the Foundation is run: Regular members vote in the election of the Board of Trustees, and the trustees are themselves elected from among the Regular membership.	eligible, eligibility, who can join, qualify, regular, associate, alumni, faculty	See the categories	/membership	No	Yes
Who can become an Affiliate member?	Anyone outside the Academy — individuals, companies and institutions alike — who shares PMAFI's values and wants to support its work. You do not need to be a PMA graduate.	affiliate, organization, company, not alumni, partner	See the categories	/membership	No	Yes
What are the benefits of membership?	Members invest directly in the Academy, join a nationwide community of alumni and supporters, receive regular updates on programs and milestones, and are invited to PMAFI events. Regular members also vote in the election of the Board of Trustees.	benefits, perks, why join, advantages, what do i get	See member benefits	/membership	No	Yes
What happens after I submit my application?	Membership is pay-first: you settle the membership fee and attach your proof of payment to the application form. The Foundation then verifies the payment and confirms your category, and your membership is activated once that check is done — until then your status shows as being verified.	after applying, next steps, process, what happens, approval, review	See how to join	/membership	No	Yes
Can I vote in PMAFI elections?	Regular members vote in the election of the Board of Trustees, giving them a direct say in how the Foundation is governed and where its resources go.	vote, voting, election, elect, governance, trustees	About membership	/membership	No	Yes
What is an endowment fund?	An endowment is a lasting fund whose principal is never spent. Only the annual earnings are used, so the gift continues to sustain PMA programs and academic excellence year after year. Endowments start from ₱100,000.	endowment, perpetuity, lasting, principal, fund	Ways to give	/donate	No	Yes
How much do I need to establish a professorial chair?	A professorial chair may be established from ₱250,000. The principal is preserved and only the earnings fund the grant, so the chair continues in your name or your class's honor.	professorial chair, how much, minimum, establish, cost	Ways to give	/donate	No	Yes
Can I choose what my donation supports?	Yes. You can establish a professorial chair or an endowment fund in your name, or give an unrestricted gift that PMAFI directs to its most pressing needs — faculty development, facilities, scholarships and cadet programs.	designate, choose, specific, restricted, unrestricted, earmark	Ways to give	/donate	No	Yes
How will I know my donation was received?	Tell the Foundation about your gift once you have sent it, using the short form on the Donate page or by email, and it will be acknowledged. You can follow its progress afterwards on the My Donations page, which shows each stage as it is reached.	confirm, receipt, acknowledgment, proof, received, confirmation	How to give	/donate	No	Yes
How can I check a donation I have already made?	Use the My Donations page. Enter the email address you gave under together with the reference code from your acknowledgment, and you will see each of your gifts — the amount, the date, what it was designated for, and where it stands in our process.	check donation, my donations, track, look up, history, reference	View my donations	/donate/status	Yes	Yes
Why is my donation not showing in My Donations?	Donations are listed once our team has verified the transfer and recorded it, so a very recent donation may not appear yet. Please also check that the email address and reference match your acknowledgment exactly. If something still looks wrong, get in touch and we will look it up for you.	not showing, missing, cannot find, no record, problem	Contact us	/contact	No	Yes
How do I create my digital member ID?	Go to the digital ID page and enter the email address on your membership. Once the Foundation's records confirm you, your card is built from them — your name, category and standing come from the roster, and the only thing you add is a photo. Download it and keep it on your phone.	id card, digital id, create id, member id, card, download	Create my ID	/membership/id	Yes	Yes
Is my photo uploaded when I create an ID?	No. The card is put together entirely in your browser — your photo is never uploaded to us and is not stored anywhere.	photo, upload, stored, picture, image	Create my ID	/membership/id	No	Yes
Is PMAFI part of the Philippine Military Academy or the AFP?	No. PMAFI is an independent non-stock, non-profit foundation that supports the Academy. This is not an official website of the Philippine Military Academy or the Armed Forces of the Philippines.	official, part of, afp, government, independent, affiliated	About PMAFI	/about	No	Yes
How many members does PMAFI have?	As of 31 December 2025 the Foundation had 6,049 members — 5,960 Regular, 10 Associate and 79 Affiliate. The figure is from PMAFI's 2025 annual report.	how many, members, size, membership, total, 6049	Join them	/membership	No	Yes
How is the Foundation governed?	By a board of fifteen trustees elected from the Regular membership, with the Superintendent of the Academy sitting ex officio. An Executive Committee chaired by the President acts for the board between meetings, and the President is the Foundation's chief executive.	governed, governance, run, managed, board, executive, president, structure	Meet the Board	/about#board	No	Yes
What does PMAFI stand for?	PMAFI is the Philippine Military Academy Foundation, Inc. — a non-stock, non-profit foundation supporting the PMA in developing officers of integrity, competence and character.	stand for, acronym, abbreviation, full name, meaning	About PMAFI	/about	No	Yes
